,policy_csl,insured_sex,insured_education_level,incident_severity,property_damage,police_report_available,fraud_reported,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,months_as_customer,policy_deductable,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim
0,2.5,1,6,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,328,1000,1406.91,0,53300,0,5,1,1,2,6510,13020,52080
1,2.5,1,6,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,228,2000,1197.22,5000000,0,0,8,1,0,0,780,780,3510
2,1.0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,134,2000,1413.14,5000000,35100,0,7,3,2,3,7700,3850,23100
3,2.5,0,7,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,256,2000,1415.74,6000000,48900,-62400,5,1,1,2,6340,6340,50720
4,5.0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,228,1000,1583.91,6000000,66000,-46000,20,1,0,1,1300,650,4550
5,2.5,0,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,256,1000,1351.1,0,0,0,19,3,0,2,6410,6410,51280
6,2.5,1,7,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,137,1000,1333.35,0,0,-77000,0,3,0,0,21450,7150,50050
7,1.0,1,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,165,1000,1137.03,0,0,0,23,3,2,2,9380,9380,32830
8,1.0,0,7,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,27,500,1442.99,0,0,0,21,1,1,1,2770,2770,22160
9,1.0,1,7,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,212,500,1315.68,0,0,-39300,14,1,2,1,4700,4700,32900
10,1.0,0,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,235,500,1253.12,4000000,38400,0,22,1,2,2,7910,15820,63280
11,1.0,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,447,2000,1137.16,0,0,-51000,21,3,1,2,17680,17680,79560
12,5.0,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,60,500,1215.36,3000000,0,0,9,1,1,0,4710,9420,42390
13,1.0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,121,1000,936.61,0,52800,-32800,5,1,1,1,1120,1120,5040
14,2.5,0,3,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,180,2000,1301.13,0,41300,-55500,12,1,0,2,4200,8400,33600
15,1.0,0,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,473,2000,1131.4,0,55700,0,12,4,0,0,10520,10520,42080
16,5.0,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,70,1000,1199.44,5000000,63600,0,0,3,1,2,5790,5790,40530
