,police_report_available
0,YES
1,YES
2,NO
3,NO
4,NO
5,NO
6,YES
7,YES
8,YES
9,YES
10,YES
11,YES
12,NO
13,NO
14,YES
15,NO
16,YES
17,YES
18,NO
19,NO
20,YES
21,YES
22,YES
23,YES
24,NO
25,YES
26,YES
27,YES
28,YES
29,NO
30,YES
31,YES
32,NO
33,YES
34,YES
35,YES
36,YES
37,YES
38,YES
39,NO
40,YES
41,YES
42,NO
43,NO
44,YES
45,YES
46,YES
47,NO
48,YES
49,YES
50,YES
51,YES
52,NO
53,NO
54,NO
55,NO
56,YES
57,YES
58,YES
59,YES
60,YES
61,YES
62,NO
63,NO
64,YES
65,NO
66,YES
67,YES
68,NO
69,NO
70,YES
71,YES
72,YES
73,YES
74,NO
75,YES
76,YES
77,YES
78,YES
79,NO
80,YES
81,YES
82,NO
83,YES
84,YES
85,YES
86,YES
87,YES
88,YES
89,NO
90,YES
91,YES
92,NO
93,NO
94,YES
95,YES
96,YES
97,NO
98,YES
99,YES
100,YES
101,YES
102,NO
103,NO
104,NO
105,NO
106,YES
107,YES
108,YES
109,YES
110,YES
111,YES
112,NO
113,NO
114,YES
115,NO
116,YES
117,YES
118,NO
119,NO
120,YES
121,YES
122,YES
123,YES
124,NO
125,YES
126,YES
127,YES
128,YES
129,NO
130,YES
131,YES
132,NO
133,YES
134,YES
135,YES
136,YES
137,YES
138,YES
139,NO
140,YES
141,YES
142,NO
143,NO
144,YES
145,YES
146,YES
147,NO
148,YES
149,YES
150,YES
151,YES
152,NO
153,NO
154,NO
155,NO
156,YES
157,YES
158,YES
159,YES
160,YES
161,YES
162,NO
163,NO
164,YES
165,NO
166,YES
167,YES
168,NO
169,NO
170,YES
171,YES
172,YES
173,YES
174,NO
175,YES
176,YES
177,YES
178,YES
179,NO
180,YES
181,YES
182,NO
183,YES
184,YES
185,YES
186,YES
187,YES
188,YES
189,NO
190,YES
191,YES
192,NO
193,NO
194,YES
195,YES
196,YES
197,NO
198,YES
199,YES
200,YES
201,YES
202,NO
203,NO
204,NO
205,NO
206,YES
207,YES
208,YES
209,YES
210,YES
211,YES
212,NO
213,NO
214,YES
215,NO
216,YES
217,YES
218,NO
219,NO
220,YES
221,YES
222,YES
223,YES
224,NO
225,YES
226,YES
227,YES
228,YES
229,NO
230,YES
231,YES
232,NO
233,YES
234,YES
235,YES
236,YES
237,YES
238,YES
239,NO
240,YES
241,YES
242,NO
243,NO
244,YES
245,YES
246,YES
247,NO
248,YES
249,YES
250,YES
251,YES
252,NO
253,NO
254,NO
255,NO
256,YES
257,YES
258,YES
259,YES
260,YES
261,YES
262,NO
263,NO
264,YES
265,NO
266,YES
267,YES
268,NO
269,NO
270,YES
271,YES
272,YES
273,YES
274,NO
275,YES
276,YES
277,YES
278,YES
279,NO
280,YES
281,YES
282,NO
283,YES
284,YES
285,YES
286,YES
287,YES
288,YES
289,NO
290,YES
291,YES
292,NO
293,NO
294,YES
295,YES
296,YES
297,NO
298,YES
299,YES
300,YES
301,YES
302,NO
303,NO
304,NO
305,NO
306,YES
307,YES
308,YES
309,YES
310,YES
311,YES
312,NO
313,NO
314,YES
315,NO
316,YES
317,YES
318,NO
319,NO
320,YES
321,YES
322,YES
323,YES
324,NO
325,YES
326,YES
327,YES
328,YES
329,NO
330,YES
331,YES
332,NO
333,YES
334,YES
335,YES
336,YES
337,YES
338,YES
339,NO
340,YES
341,YES
342,NO
343,NO
344,YES
345,YES
346,YES
347,NO
348,YES
349,YES
350,YES
351,YES
352,NO
353,NO
354,NO
355,NO
356,YES
357,YES
358,YES
359,YES
360,YES
361,YES
362,NO
363,NO
364,YES
365,NO
366,YES
367,YES
368,NO
369,NO
370,YES
371,YES
372,YES
373,YES
374,NO
375,YES
376,YES
377,YES
378,YES
379,NO
380,YES
381,YES
382,NO
383,YES
384,YES
385,YES
386,YES
387,YES
388,YES
389,NO
390,YES
391,YES
392,NO
393,NO
394,YES
395,YES
396,YES
397,NO
398,YES
399,YES
400,YES
401,YES
402,NO
403,NO
404,NO
405,NO
406,YES
407,YES
408,YES
409,YES
410,YES
411,YES
412,NO
413,NO
414,YES
415,NO
416,YES
417,YES
418,NO
419,NO
420,YES
421,YES
422,YES
423,YES
424,NO
425,YES
426,YES
427,YES
428,YES
429,NO
430,YES
431,YES
432,NO
433,YES
434,YES
435,YES
436,YES
437,YES
438,YES
439,NO
440,YES
441,YES
442,NO
443,NO
444,YES
445,YES
446,YES
447,NO
448,YES
449,YES
450,YES
451,YES
452,NO
453,NO
454,NO
455,NO
456,YES
457,YES
458,YES
459,YES
460,YES
461,YES
462,NO
463,NO
464,YES
465,NO
466,YES
467,YES
468,NO
469,NO
470,YES
471,YES
472,YES
473,YES
474,NO
475,YES
476,YES
477,YES
478,YES
479,NO
480,YES
481,YES
482,NO
483,YES
484,YES
485,YES
486,YES
487,YES
488,YES
489,NO
490,YES
491,YES
492,NO
493,NO
494,YES
495,YES
496,YES
497,NO
498,YES
499,YES
500,YES
501,YES
502,NO
503,NO
504,NO
505,NO
506,YES
507,YES
508,YES
509,YES
510,YES
511,YES
512,NO
513,NO
514,YES
515,NO
516,YES
517,YES
518,NO
519,NO
520,YES
521,YES
522,YES
523,YES
524,NO
525,YES
526,YES
527,YES
528,YES
529,NO
530,YES
531,YES
532,NO
533,YES
534,YES
535,YES
536,YES
537,YES
538,YES
539,NO
540,YES
541,YES
542,NO
543,NO
544,YES
545,YES
546,YES
547,NO
548,YES
549,YES
550,YES
551,YES
552,NO
553,NO
554,NO
555,NO
556,YES
557,YES
558,YES
559,YES
560,YES
561,YES
562,NO
563,NO
564,YES
565,NO
566,YES
567,YES
568,NO
569,NO
570,YES
571,YES
572,YES
573,YES
574,NO
575,YES
576,YES
577,YES
578,YES
579,NO
580,YES
581,YES
582,NO
583,YES
584,YES
585,YES
586,YES
587,YES
588,YES
589,NO
590,YES
591,YES
592,NO
593,NO
594,YES
595,YES
596,YES
597,NO
598,YES
599,YES
600,YES
601,YES
602,NO
603,NO
604,NO
605,NO
606,YES
607,YES
608,YES
609,YES
610,YES
611,YES
612,NO
613,NO
614,YES
615,NO
616,YES
617,YES
618,NO
619,NO
620,YES
621,YES
622,YES
623,YES
624,NO
625,YES
626,YES
627,YES
628,YES
629,NO
630,YES
631,YES
632,NO
633,YES
634,YES
635,YES
636,YES
637,YES
638,YES
639,NO
640,YES
641,YES
642,NO
643,NO
644,YES
645,YES
646,YES
647,NO
648,YES
649,YES
650,YES
651,YES
652,NO
653,NO
654,NO
655,NO
656,YES
657,YES
658,YES
659,YES
660,YES
661,YES
662,NO
663,NO
664,YES
665,NO
666,YES
667,YES
668,NO
669,NO
670,YES
671,YES
672,YES
673,YES
674,NO
675,YES
676,YES
677,YES
678,YES
679,NO
680,YES
681,YES
682,NO
683,YES
684,YES
685,YES
686,YES
687,YES
688,YES
689,NO
690,YES
691,YES
692,NO
693,NO
694,YES
695,YES
696,YES
697,NO
698,YES
699,YES
