,months_as_customer,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported
0,328,250/500,1000,1406.91,0,MALE,MD,craft-repair,husband,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,5,1,YES,1,2,YES,6510,13020,52080,Y
1,228,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,other-relative,0,0,Vehicle Theft,,Minor Damage,Police,8,1,,0,0,,780,780,3510,Y
2,134,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,own-child,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,NO,2,3,NO,7700,3850,23100,N
3,256,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,unmarried,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,5,1,,1,2,NO,6340,6340,50720,Y
4,228,500/1000,1000,1583.91,6000000,MALE,Associate,sales,unmarried,66000,-46000,Vehicle Theft,,Minor Damage,None,20,1,NO,0,1,NO,1300,650,4550,N
5,256,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,NO,0,2,NO,6410,6410,51280,Y
6,137,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,husband,0,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,,0,0,,21450,7150,50050,N
7,165,100/300,1000,1137.03,0,MALE,Associate,tech-support,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,,2,2,YES,9380,9380,32830,N
8,27,100/300,500,1442.99,0,FEMALE,PhD,other-service,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,NO,1,1,YES,2770,2770,22160,N
9,212,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,wife,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,1,NO,2,1,,4700,4700,32900,N
10,235,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,other-relative,38400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,22,1,YES,2,2,,7910,15820,63280,N
11,447,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,YES,1,2,YES,17680,17680,79560,N
12,60,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,wife,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,YES,1,0,NO,4710,9420,42390,N
13,121,100/300,1000,936.61,0,FEMALE,MD,armed-forces,wife,52800,-32800,Parked Car,,Minor Damage,None,5,1,NO,1,1,NO,1120,1120,5040,N
14,180,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,not-in-family,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,NO,0,2,YES,4200,8400,33600,Y
15,473,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,4,YES,0,0,NO,10520,10520,42080,Y
